date_series,all_employees,production_employees,women_gov_employees
1964-01-01,46879,38888.0,3727.0
1964-02-01,46959,38951.0,3776.0
1964-03-01,47275,39240.0,3799.0
1964-04-01,47812,39765.0,3815.0
1964-05-01,48326,40258.0,3806.0
1964-06-01,49110,40995.0,3721.0
1964-07-01,49275,41113.0,3506.0
1964-08-01,49558,41384.0,3507.0
1964-09-01,49778,41631.0,3747.0
1964-10-01,49459,41305.0,3915.0
1964-11-01,49673,41508.0,3964.0
1964-12-01,50056,41865.0,3973.0
1965-01-01,48603,40441.0,3954.0
1965-02-01,48632,40431.0,4002.0
1965-03-01,49014,40767.0,4024.0
1965-04-01,49753,41453.0,4034.0
1965-05-01,50284,41948.0,4026.0
1965-06-01,51146,42742.0,3946.0
1965-07-01,51301,42834.0,3763.0
1965-08-01,51604,43126.0,3753.0
1965-09-01,51761,43297.0,4020.0
1965-10-01,51796,43319.0,4192.0
1965-11-01,51901,43395.0,4259.0
1965-12-01,52405,43867.0,4305.0
1966-01-01,50964,42402.0,4278.0
1966-02-01,51015,42432.0,4355.0
1966-03-01,51550,42913.0,4408.0
1966-04-01,52234,43536.0,4442.0
1966-05-01,52747,44015.0,4445.0
1966-06-01,53811,44958.0,4386.0
1966-07-01,53847,44928.0,4174.0
1966-08-01,54122,45170.0,4144.0
1966-09-01,54142,45205.0,4442.0
1966-10-01,54147,45208.0,4630.0
1966-11-01,54177,45195.0,4721.0
1966-12-01,54562,45544.0,4759.0
1967-01-01,53092,44071.0,4734.0
1967-02-01,52928,43871.0,4801.0
1967-03-01,53218,44122.0,4835.0
1967-04-01,53596,44462.0,4846.0
1967-05-01,53975,44816.0,4836.0
1967-06-01,54826,45576.0,4753.0
1967-07-01,54835,45519.0,4277.0
1967-08-01,55148,45820.0,4177.0
1967-09-01,55078,45759.0,4774.0
1967-10-01,54983,45681.0,4985.0
1967-11-01,55391,46071.0,5052.0
1967-12-01,55804,46446.0,5092.0
1968-01-01,54017,44681.0,5088.0
1968-02-01,54266,44912.0,5162.0
1968-03-01,54565,45199.0,5193.0
1968-04-01,55252,45839.0,5198.0
1968-05-01,55563,46107.0,5187.0
1968-06-01,56531,46984.0,5085.0
1968-07-01,56569,46945.0,4515.0
1968-08-01,56864,47207.0,4443.0
1968-09-01,56939,47301.0,4941.0
1968-10-01,57025,47383.0,5169.0
1968-11-01,57277,47626.0,5225.0
1968-12-01,57735,48040.0,5280.0
1969-01-01,56234,46552.0,5272.0
1969-02-01,56349,46634.0,5353.0
1969-03-01,56813,47029.0,5369.0
1969-04-01,57409,47570.0,5374.0
1969-05-01,57866,47969.0,5368.0
1969-06-01,58903,48922.0,5283.0
1969-07-01,58821,48794.0,4615.0
1969-08-01,59195,49133.0,4536.0
1969-09-01,59059,49024.0,5106.0
1969-10-01,59106,49060.0,5382.0
1969-11-01,59049,48985.0,5452.0
1969-12-01,59372,49283.0,5473.0
1970-01-01,57675,47587.0,5444.0
1970-02-01,57653,47539.0,5525.0
1970-03-01,57995,47879.0,5569.0
1970-04-01,58239,48097.0,5591.0
1970-05-01,58299,48152.0,5558.0
1970-06-01,58998,48823.0,5458.0
1970-07-01,58752,48564.0,4928.0
1970-08-01,58770,48590.0,4861.0
1970-09-01,58739,48602.0,5315.0
1970-10-01,58160,48020.0,5566.0
1970-11-01,58006,47890.0,5656.0
1970-12-01,58532,48411.0,5662.0
1971-01-01,56979,46882.0,5634.0
1971-02-01,56791,46708.0,5708.0
1971-03-01,57094,47004.0,5742.0
1971-04-01,57673,47576.0,5740.0
1971-05-01,58147,48038.0,5724.0
1971-06-01,58894,48709.0,5602.0
1971-07-01,58664,48453.0,4996.0
1971-08-01,58868,48652.0,4958.0
1971-09-01,59100,48881.0,5441.0
1971-10-01,58995,48750.0,5681.0
1971-11-01,59173,48917.0,5762.0
1971-12-01,59499,49237.0,5786.0
1972-01-01,58149,48032.0,5779.0
1972-02-01,58180,48006.0,5879.0
1972-03-01,58710,48540.0,5910.0
1972-04-01,59343,49112.0,5905.0
1972-05-01,59927,49634.0,5913.0
1972-06-01,60998,50600.0,5797.0
1972-07-01,60540,50092.0,5282.0
1972-08-01,61172,50671.0,5245.0
